Bloque | Frecuencia | Probabilidad 
space | 680.0 | 0.1732 
¡ | 7.0 | 0.0018 
! | 7.0 | 0.0018 
, | 45.0 | 0.0115 
. | 34.0 | 0.0087 
: | 8.0 | 0.0020 
A | 59.0 | 0.0150 
B | 8.0 | 0.0020 
C | 54.0 | 0.0138 
D | 61.0 | 0.0155 
E | 68.0 | 0.0173 
F | 7.0 | 0.0018 
G | 17.0 | 0.0043 
H | 17.0 | 0.0043 
I | 5.0 | 0.0013 
É | 1.0 | 0.0003 
J | 1.0 | 0.0003 
L | 73.0 | 0.0186 
M | 39.0 | 0.0099 
N | 25.0 | 0.0064 
O | 25.0 | 0.0064 
P | 62.0 | 0.0158 
Q | 9.0 | 0.0023 
R | 11.0 | 0.0028 
S | 56.0 | 0.0143 
T | 27.0 | 0.0069 
U | 27.0 | 0.0069 
V | 12.0 | 0.0031 
Y | 29.0 | 0.0074 
Ú | 1.0 | 0.0003 
a | 394.0 | 0.1003 
á | 18.0 | 0.0046 
b | 33.0 | 0.0084 
c | 55.0 | 0.0140 
d | 60.0 | 0.0153 
e | 288.0 | 0.0733 
f | 8.0 | 0.0020 
g | 23.0 | 0.0059 
new line | 32.0 | 0.0081 
h | 3.0 | 0.0008 
i | 155.0 | 0.0395 
é | 4.0 | 0.0010 
j | 11.0 | 0.0028 
l | 92.0 | 0.0234 
m | 64.0 | 0.0163 
í | 15.0 | 0.0038 
n | 199.0 | 0.0507 
o | 255.0 | 0.0649 
p | 27.0 | 0.0069 
ñ | 18.0 | 0.0046 
q | 15.0 | 0.0038 
r | 155.0 | 0.0395 
s | 207.0 | 0.0527 
ó | 38.0 | 0.0097 
t | 114.0 | 0.0290 
u | 94.0 | 0.0239 
v | 19.0 | 0.0048 
x | 3.0 | 0.0008 
y | 10.0 | 0.0025 
ú | 1.0 | 0.0003 
z | 10.0 | 0.0025 
return | 32.0 | 0.0081 


Combinacion de bloques de cantidad 1


