10 bits

Voltaje = 1.9531 mV


Tamano del Segmento = 31.25

Tabla de Segmentos
|0|0 - 31,25|
|1|31,25 - 62,5|
|2|62,5 - 93,75|
|3|93,75 - 125|
|4|125 - 156,25|
|5|156,25 - 187,5|
|6|187,5 - 218,75|
|7|218,75 - 250|
|8|250 - 281,25|
|9|281,25 - 312,5|
|10|312,5 - 343,75|
|11|343,75 - 375|
|12|375 - 406,25|
|13|406,25 - 437,5|
|14|437,5 - 468,75|
|15|468,75 - 500|
|16|500 - 531,25|
|17|531,25 - 562,5|
|18|562,5 - 593,75|
|19|593,75 - 625|
|20|625 - 656,25|
|21|656,25 - 687,5|
|22|687,5 - 718,75|
|23|718,75 - 750|
|24|750 - 781,25|
|25|781,25 - 812,5|
|26|812,5 - 843,75|
|27|843,75 - 875|
|28|875 - 906,25|
|29|906,25 - 937,5|
|30|937,5 - 968,75|
|31|968,75 - 1000|



Tabla de Intervalos
|0|0 - 1,9531|
|1|1,9531 - 3,9062|
|2|3,9062 - 5,8594|
|3|5,8594 - 7,8125|
|4|7,8125 - 9,7656|
|5|9,7656 - 11,7188|
|6|11,7188 - 13,6719|
|7|13,6719 - 15,625|
|8|15,625 - 17,5781|
|9|17,5781 - 19,5312|
|10|19,5312 - 21,4844|
|11|21,4844 - 23,4375|
|12|23,4375 - 25,3906|
|13|25,3906 - 27,3438|
|14|27,3438 - 29,2969|
|15|29,2969 - 31,25|

