Simbolo	|Frecuencia	|Probabilidad	|Frecuencia Bits	|Esperanza
+102.0625		|164.0		|0,0083			|6,9127				|0,0574
+250.5		|3406.0		|0,1734			|2,5278				|0,4383
+258.3125		|35.0		|0,0018			|9,1178				|0,0164
+344.25		|225.0		|0,0115			|6,4422				|0,0741
+359.875		|170.0		|0,0087			|6,8448				|0,0595
+453.625		|40.0		|0,0020			|8,9658				|0,0179
+508.3125		|294.0		|0,0150			|6,0589				|0,0909
+516.125		|40.0		|0,0020			|8,9658				|0,0179
+523.9375		|270.0		|0,0137			|6,1897				|0,0848
+531.75		|305.0		|0,0155			|6,0116				|0,0932
+539.5625		|339.0		|0,0173			|5,8531				|0,1013
+547.375		|35.0		|0,0018			|9,1178				|0,0164
+555.1875		|85.0		|0,0043			|7,8614				|0,0338
+563.0		|85.0		|0,0043			|7,8614				|0,0338
+570.8125		|25.0		|0,0013			|9,5873				|0,0125
+578.625		|5.0		|0,0003			|11,7027				|0,0035
+594.25		|365.0		|0,0186			|5,7486				|0,1069
+602.0625		|195.0		|0,0099			|6,6584				|0,0659
+609.875		|125.0		|0,0064			|7,2877				|0,0466
+617.6875		|125.0		|0,0064			|7,2877				|0,0466
+625.5		|310.0		|0,0158			|5,9839				|0,0945
+633.3125		|45.0		|0,0023			|8,7642				|0,0202
+641.125		|55.0		|0,0028			|8,4804				|0,0237
+648.9375		|280.0		|0,0143			|6,1278				|0,0876
+656.75		|135.0		|0,0069			|7,1792				|0,0495
+664.5625		|135.0		|0,0069			|7,1792				|0,0495
+672.375		|60.0		|0,0031			|8,3335				|0,0258
+695.8125		|145.0		|0,0074			|7,0783				|0,0524
+758.3125		|1970.0		|0,1003			|3,3176				|0,3328
+766.125		|165.0		|0,0084			|6,8954				|0,0579
+773.9375		|275.0		|0,0140			|6,1584				|0,0862
+78.625		|164.0		|0,0083			|6,9127				|0,0574
+781.75		|300.0		|0,0153			|6,0303				|0,0923
+789.5625		|1440.0		|0,0733			|3,7700				|0,2763
+797.375		|40.0		|0,0020			|8,9658				|0,0179
+805.1875		|115.0		|0,0059			|7,4051				|0,0437
+813.0		|15.0		|0,0008			|10,2877				|0,0082
+820.8125		|775.0		|0,0394			|4,6657				|0,1838
+828.625		|55.0		|0,0028			|8,4804				|0,0237
+844.25		|460.0		|0,0234			|5,4173				|0,1268
+852.0625		|320.0		|0,0163			|5,9390				|0,0968
+859.875		|995.0		|0,0506			|4,3047				|0,2178
+867.6875		|1275.0		|0,0649			|3,9456				|0,2561
+875.5		|135.0		|0,0069			|7,1792				|0,0495
+883.3125		|75.0		|0,0038			|8,0398				|0,0306
+891.125		|775.0		|0,0394			|4,6657				|0,1838
+898.9375		|1035.0		|0,0527			|4,2461				|0,2238
+906.75		|570.0		|0,0290			|5,1078				|0,1481
+914.5625		|470.0		|0,0239			|5,3868				|0,1287
+922.375		|95.0		|0,0048			|7,7027				|0,0370
+938.0		|15.0		|0,0008			|10,2877				|0,0082
+945.8125		|50.0		|0,0025			|8,6439				|0,0216
+953.625		|50.0		|0,0025			|8,6439				|0,0216
-258.3125		|35.0		|0,0018			|9,1178				|0,0164
-570.8125		|5.0		|0,0003			|11,7027				|0,0035
-703.625		|5.0		|0,0003			|11,7027				|0,0035
-758.3125		|90.0		|0,0046			|7,7642				|0,0357
-820.8125		|20.0		|0,0010			|9,9658				|0,0100
-852.0625		|75.0		|0,0038			|8,0398				|0,0306
-883.3125		|90.0		|0,0046			|7,7642				|0,0357
-898.9375		|190.0		|0,0097			|6,6878				|0,0649
-953.625		|5.0		|0,0003			|11,7027				|0,0035



cantidad total frecuencia de simbolos contados = 19647
cantidad total probabilidad de simbolos contados = 1.0004
Orden de mayor a menor frecuencia de aparición obtenida: 
+250.5|+758.3125|+789.5625|+867.6875|+898.9375|+859.875|+891.125|+891.125|+906.75|+914.5625|+844.25|+594.25|+539.5625|+852.0625|+625.5|+531.75|+781.75|+508.3125|+648.9375|+773.9375|+523.9375|+344.25|+602.0625|-898.9375|+359.875|+766.125|+102.0625|+102.0625|+695.8125|+656.75|+656.75|+656.75|+617.6875|+617.6875|+805.1875|+922.375|-758.3125|-758.3125|+563.0|+563.0|-852.0625|-852.0625|+672.375|+641.125|+641.125|+945.8125|+945.8125|+633.3125|+453.625|+453.625|+453.625|+547.375|+547.375|+547.375|+570.8125|-820.8125|+938.0|+938.0|+578.625|+578.625|+578.625|+578.625|
