Simbolo|Frecuencia|Orden de apariciÃ³n
space|680.0|1;5;11;15;24;28;37;40;43;46;61;67;71;83;85;92;101;110;122;127;130;139;148;150;161;165;173;178;187;191;199;206;209;215;227;229;237;249;252;260;269;277;281;289;296;306;308;312;321;330;341;351;357;362;365;373;380;382;385;391;403;408;416;419;425;435;442;450;457;459;469;479;482;490;497;508;516;520;525;532;541;543;551;555;563;572;574;580;583;589;596;605;610;621;629;639;650;653;665;668;676;678;687;690;694;701;705;709;719;734;739;746;753;756;764;771;783;793;800;803;807;815;829;841;847;850;862;865;874;880;889;893;900;903;907;915;923;927;930;940;950;957;961;968;977;979;984;987;994;1002;1006;1010;1019;1024;1030;1034;1038;1042;1050;1053;1058;1062;1069;1072;1078;1084;1091;1094;1097;1105;1110;1114;1118;1122;1130;1135;1139;1143;1146;1153;1161;1163;1169;1173;1182;1186;1194;1201;1205;1212;1215;1219;1229;1235;1240;1243;1253;1258;1263;1270;1280;1289;1294;1301;1305;1310;1315;1328;1331;1334;1340;1344;1347;1354;1363;1366;1376;1379;1384;1387;1392;1401;1405;1410;1418;1426;1429;1433;1441;1443;1446;1451;1454;1458;1463;1465;1470;1473;1481;1484;1487;1497;1508;1514;1517;1524;1526;1532;1535;1538;1543;1547;1558;1561;1564;1571;1577;1581;1586;1590;1595;1601;1604;1611;1615;1623;1627;1635;1637;1641;1650;1658;1661;1665;1673;1676;1681;1689;1691;1694;1700;1703;1708;1719;1728;1734;1737;1743;1746;1749;1754;1762;1767;1770;1776;1783;1787;1794;1796;1799;1802;1809;1816;1822;1825;1831;1834;1837;1842;1851;1856;1859;1865;1872;1876;1885;1887;1895;1898;1905;1909;1919;1925;1928;1934;1937;1940;1945;1953;1955;1960;1964;1967;1973;1976;1983;1986;1991;1994;2004;2012;2022;2025;2031;2040;2044;2054;2058;2061;2064;2070;2075;2079;2085;2088;2091;2100;2108;2111;2117;2120;2129;2132;2136;2142;2150;2153;2159;2163;2165;2168;2174;2177;2180;2185;2191;2196;2204;2208;2216;2220;2228;2230;2234;2243;2252;2255;2261;2264;2267;2273;2283;2288;2291;2297;2301;2305;2310;2312;2315;2318;2325;2332;2335;2341;2344;2347;2353;2362;2367;2370;2376;2380;2384;2390;2392;2402;2405;2412;2416;2425;2429;2438;2441;2447;2455;2457;2460;2466;2469;2475;2480;2483;2489;2493;2500;2502;2505;2512;2519;2522;2536;2539;2545;2550;2561;2569;2572;2576;2582;2586;2597;2600;2606;2610;2618;2624;2627;2634;2640;2645;2652;2656;2664;2668;2676;2678;2682;2691;2700;2703;2709;2711;2714;2719;2727;2732;2739;2749;2754;2756;2761;2764;2771;2780;2783;2789;2791;2794;2799;2808;2813;2820;2830;2837;2839;2847;2850;2857;2867;2870;2877;2882;2885;2890;2899;2902;2907;2910;2917;2920;2930;2935;2938;2948;2956;2959;2966;2970;2977;2987;2995;2998;3004;3007;3013;3027;3038;3043;3051;3055;3060;3065;3076;3080;3086;3090;3093;3101;3106;3110;3115;3132;3136;3139;3146;3149;3160;3177;3180;3188;3190;3198;3203;3207;3216;3219;3225;3228;3231;3237;3241;3247;3250;3256;3262;3267;3271;3275;3279;3284;3288;3291;3307;3310;3313;3321;3324;3327;3333;3335;3341;3344;3350;3356;3363;3367;3371;3375;3379;3385;3403;3408;3414;3418;3421;3429;3442;3445;3451;3456;3459;3465;3467;3474;3477;3489;3494;3499;3508;3511;3521;3524;3531;3534;3537;3549;3554;3558;3573;3576;3579;3588;3591;3594;3603;3608;3612;3630;3633;3636;3645;3648;3651;3656;3666;3672;3687;3692;3702;3705;3708;3714;3719;3722;3727;3729;3736;3757;3764;3767;3773;3782;3784;3792;3795;3800;3804;3808;3817;3823;3826;3829;3834;3836;3845;3855;3861;3867;3874;3877;3884;3889;3895;3904;3906;3909;3914;3917;3921
¡|7.0|404;969;2005;2967;3565;3622;3679
!|7.0|434;1023;2021;2986;3601;3664;3713
,|45.0|60;100;138;160;268;361;402;515;531;628;1129;1193;1252;1300;1400;1507;1622;1727;1761;1815;1850;1918;2003;2141;2215;2251;2282;2331;2361;2474;2560;2596;2663;2699;2726;2779;2807;2866;2898;2965;3050;3215;3402;3548;3799
.|34.0|36;186;350;550;752;873;967;1104;1181;1375;1480;1557;1649;1718;1808;1904;2099;2173;2242;2324;2411;2527;2690;2770;2856;2955;3035;3100;3298;3393;3485;3520;3754;3926
:|8.0|1610;2203;2651;3168;3433;3563;3620;3677
A|59.0|0;84;131;179;238;354;381;417;517;573;712;851;881;941;970;978;1230;1377;1442;1482;1509;1605;1682;1695;1738;1771;1826;1860;1929;1968;2026;2164;2306;2385;2598;2710;2790;2871;3036;3161;3170;3189;3251;3300;3345;3435;3460;3522;3566;3580;3623;3637;3680;3728;3783;3809;3856;3875;3905
B|8.0|1098;1348;2515;2528;2831;2949;3094;3878
C|54.0|29;123;151;192;297;342;426;472;483;491;521;556;564;630;640;720;794;808;908;931;988;995;1003;1085;1259;1281;1295;1380;1447;1539;1565;1587;1877;1995;2065;2112;2628;2637;2646;2715;2795;2886;2903;3199;3272;3368;3415;3446;3597;3652;3709;3830;3839;3910
D|61.0|44;207;250;331;480;581;666;688;801;863;901;1051;1144;1220;1244;1271;1318;1332;1385;1427;1452;1602;1659;1709;1744;1832;1935;2045;2080;2101;2109;2121;2130;2151;2551;2570;2607;2740;2750;2772;2821;2921;2931;2939;2957;2996;3028;3077;3258;3289;3352;3404;3559;3673;3693;3737;3765;3774;3793;3824;3915
